Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.24	0.26	0.861	0.779	0.09	0.12	-1.45	0.991
1q	1955	0.33	0.34	2.21	0.0911	0.04	0.05	-2.38	0.991
2p	924	0.18	0.21	-0.501	0.999	0.15	0.18	-1.04	0.991
2q	1556	0.16	0.19	-0.643	0.999	0.13	0.15	-1.2	0.991
3p	1062	0.18	0.20	-0.593	0.999	0.11	0.13	-1.68	0.991
3q	1139	0.18	0.21	-0.484	0.999	0.13	0.16	-1.3	0.991
4p	489	0.24	0.26	0.0572	0.999	0.09	0.12	-2.04	0.991
4q	1049	0.18	0.20	-0.599	0.999	0.11	0.13	-1.68	0.991
5p	270	0.24	0.27	0.0422	0.999	0.11	0.14	-1.76	0.991
5q	1427	0.24	0.26	0.504	0.999	0.09	0.12	-1.71	0.991
6p	1173	0.38	0.45	3.38	0.00507	0.15	0.24	-0.0255	0.991
6q	839	0.18	0.25	0.0501	0.999	0.27	0.33	1.35	0.295
7p	641	0.36	0.39	2.3	0.0853	0.07	0.11	-1.88	0.991
7q	1277	0.36	0.39	2.66	0.0387	0.07	0.11	-1.68	0.991
8p	580	0.31	0.38	1.91	0.161	0.18	0.26	0.131	0.991
8q	859	0.45	0.48	3.93	0.0017	0.05	0.10	-1.86	0.991
9p	422	0.02	0.03	-2.88	0.999	0.44	0.44	3.12	0.00397
9q	1113	0.02	0.03	-2.7	0.999	0.44	0.44	3.54	0.000988
10p	409	0.02	0.03	-3.05	0.999	0.38	0.39	2.18	0.0579
10q	1268	0.02	0.03	-3.13	0.999	0.27	0.28	0.751	0.696
11p	862	0.13	0.16	-1.41	0.999	0.18	0.21	-0.605	0.991
11q	1515	0.15	0.18	-0.796	0.999	0.18	0.21	-0.241	0.991
12p	575	0.13	0.16	-1.45	0.999	0.20	0.23	-0.396	0.991
12q	1447	0.07	0.09	-2.19	0.999	0.20	0.22	-0.233	0.991
13q	654	0.15	0.18	-1.14	0.999	0.18	0.21	-0.617	0.991
14q	1341	0.07	0.10	-2.1	0.999	0.24	0.25	0.38	0.938
15q	1355	0.18	0.23	-0.0745	0.999	0.20	0.24	0.198	0.991
16p	872	0.11	0.24	-0.0657	0.999	0.55	0.61	5.96	1.67e-08
16q	702	0.09	0.20	-0.582	0.999	0.55	0.60	5.7	5.83e-08
17p	683	0.05	0.14	-1.24	0.999	0.60	0.63	6.38	1.77e-09
17q	1592	0.07	0.15	-0.96	0.999	0.51	0.55	5.53	1.05e-07
18p	143	0.24	0.28	0.161	0.999	0.15	0.19	-1.11	0.991
18q	446	0.24	0.27	0.208	0.999	0.13	0.17	-1.35	0.991
19p	995	0.13	0.29	0.566	0.999	0.56	0.65	6.53	1.33e-09
19q	1709	0.07	0.15	-0.924	0.999	0.51	0.55	5.62	7.68e-08
20p	355	0.27	0.33	1.02	0.686	0.16	0.23	-0.508	0.991
20q	753	0.29	0.36	1.65	0.246	0.18	0.26	0.107	0.991
21p	13	0.20	0.28	0.171	0.999	0.29	0.36	1.4	0.293
21q	509	0.11	0.15	-1.61	0.999	0.25	0.29	0.478	0.904
22q	921	0.29	0.50	3.37	0.00507	0.42	0.59	5.02	1.47e-06
