Samples	SBS1	SBS40	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS38	SBS9	SBS2	SBS13	SBS36	SBS17a	SBS17b	SBS31	SBS32	SBS35	SBS33	SBS34	SBS54
AM_003	173	0	2042	0	229	0	140	345	0	169	57	0	0	203	0	0	0	0	0	0
AM_008	0	0	42	0	0	0	0	0	0	7	29	0	0	0	0	0	0	0	0	0
AM_014	217	0	2657	5841	2172	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0
AM_016	265	0	1777	0	0	0	0	710	0	0	130	189	0	0	0	0	0	0	141	0
AM_019	63	0	462	0	0	0	0	0	0	0	45	41	0	0	0	0	0	0	0	0
AM_021	146	0	1157	0	0	0	0	181	0	303	473	301	0	0	0	0	0	0	0	0
AM_028	25	282	153	0	71	0	106	96	0	71	52	0	0	0	0	0	0	0	0	0
AM_007	141	619	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM_001	158	0	948	198	0	0	107	117	141	51	50	0	0	0	0	0	0	0	49	0
AM_002	0	0	0	2494	5302	0	0	0	0	0	0	0	0	0	8909	7977	0	0	0	0
AM_004	139	0	963	0	256	0	0	262	0	273	201	0	0	0	0	0	0	0	0	0
AM_005	344	0	2860	0	0	0	0	1829	0	0	0	0	0	0	2038	0	1833	0	0	0
AM_006	356	3562	1192	0	0	0	0	0	963	335	215	0	0	0	0	0	0	0	0	0
AM_009	241	1224	955	0	0	0	0	0	0	137	142	336	0	0	0	0	0	0	173	0
AM_010	348	2255	570	362	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0
AM_044	5	0	15	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	10	0
AM_012	51	261	558	220	84	0	58	303	0	0	0	0	0	0	0	0	0	0	0	0
AM_013	397	0	1916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6875	0	1333
AM_015	132	449	316	0	0	0	0	93	0	54	44	0	0	0	0	0	0	0	40	0
AM_017	118	0	1409	0	260	0	0	258	0	333	446	0	0	0	0	0	0	0	0	0
AM_018	2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM_020	2	0	13	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	15	0
AM_022	316	0	1752	0	0	0	0	138	0	146	198	134	0	0	0	0	0	0	120	0
AM_023	631	3661	1258	840	425	0	300	387	0	0	363	0	0	0	0	0	0	0	0	0
AM_024	4	57	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
AM_025	120	0	591	0	77	0	0	80	0	46	110	121	0	0	0	0	0	0	0	0
AM_026	82	0	426	0	0	0	0	0	107	17	34	68	0	0	0	0	0	0	0	0
AM_027	93	576	578	0	0	0	0	0	0	117	67	0	0	0	159	0	0	0	0	0
AM_030	482	0	2655	0	0	0	0	0	1130	254	217	0	0	0	0	0	573	0	0	0
AM_031	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
AM_032	180	0	2215	0	0	0	0	599	563	114	148	0	0	0	0	0	365	0	0	0
AM_033	502	9744	724	3347	4040	0	568	0	0	1390	0	0	0	0	0	0	0	0	0	0
AM_034	278	0	2203	0	0	0	0	2128	0	210	609	0	0	0	0	0	0	0	0	0
AM_035	27	0	131	0	0	0	0	15	0	7	12	22	0	0	0	0	0	0	0	0
AM_036	282	0	1705	0	0	0	0	1324	0	121	104	247	0	0	0	0	309	0	0	0
AM_039	277	0	2291	0	0	0	0	425	0	228	211	0	0	125	0	0	0	0	215	0
AM_040	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
AM_041	884	2768	2137	0	897	0	0	2287	0	861	259	0	0	0	0	0	0	0	0	0
AM_042	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
AM_043	2	49	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0
AM_045	4	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
AM_046	2	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
AM_049	200	0	1437	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	74	0
AM_050	318	3719	1761	0	0	0	0	509	0	0	0	0	289	667	0	0	1008	0	0	0
AM_051	149	882	401	128	0	0	60	265	0	0	0	0	0	0	0	0	0	0	65	0
AM_052	307	1817	914	0	294	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0
AM_053	25	260	66	0	90	0	25	0	0	70	44	0	0	0	0	0	0	0	0	0
AM_011	305	1152	871	93	0	0	0	882	0	0	0	0	0	0	0	0	0	0	0	0
AM_037	30	0	322	0	54	0	0	45	0	87	38	55	0	0	0	0	0	0	0	0
AM_029	187	0	701	0	0	0	0	1588	0	0	0	0	0	0	0	0	0	0	0	0
AM_038	38	0	405	0	126	0	0	0	0	232	208	0	0	0	0	0	0	0	0	0
AM_047	147	0	545	0	0	0	0	0	0	131	111	51	0	0	0	0	0	0	0	0
AM_048	293	1327	634	0	0	0	0	321	518	0	112	0	0	0	0	0	0	0	0	0
AM_054	120	821	104	426	181	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0
AM_055	1282	13857	0	20149	5521	0	3879	0	0	0	0	0	0	0	0	0	0	0	0	0
