Code_legal	RS_cluster	katagis	BND	DEL	DUP	INV	TMB
AC_WGS_1T	F	6	31	67	18	50	1.09
AC_WGS_2T	D	8	23	67	21	51	8.67
PGENE_1T	D	7	23	69	27	54	1.39
AC_WGS_4	B	30	205	93	47	152	1.13
AC_WGS_5	B	10	228	59	58	134	3.4
AC_WGS_6	B	27	232	129	98	206	2.79
PGENE_10T	A	0	22	50	51	122	0.68
PGENE_2T	D	2	9	7	2	11	0.36
AC_WGS_9T	A	12	70	87	61	100	1.66
AC_WGS_10	B	16	154	82	46	142	1.7
AC_WGS_11	A	8	36	43	20	47	1.54
AC_WGS_12	F	0	17	65	0	3	0.87
AC_WGS_13T	D	4	76	76	51	94	3.93
PGENE_4T	A	7	91	126	65	124	4.15
AC_WGS_15	C	6	42	23	12	37	0.88
PGENE_5T	D	5	9	50	12	37	1.38
AC_WGS_17	B	22	175	110	54	201	1.36
AC_WGS_18T	E	0	3	0	0	0	0.47
PGENE_6T	A	2	30	33	11	44	0.46
AC_WGS_20T	E	0	2	0	0	1	0.4
PGENE_8T	A	0	156	154	108	294	1.06
AC_WGS_22	F	5	71	856	30	35	1.28
AC_WGS_23	D	3	24	60	25	59	3.12
AC_WGS_24	C	0	5	7	5	17	0.23
AC_WGS_25	B	8	59	41	37	65	0.81
AC_WGS_26	C	1	14	14	5	11	0.64
AC_WGS_27	B	22	228	58	33	94	0.94
PGENE_9T	D	8	5	22	15	26	0.6
RC596TH1	C	3	28	23	9	19	1.02
AC_WGS_30	A	14	26	56	44	64	2.22
AC_WGS_31	D	0	0	0	0	0	0.53
AC_WGS_32	B	12	146	64	36	120	1.92
AC_WGS_33	D	17	9	123	49	103	7.2
AC_WGS_34	B	15	93	77	47	71	2.36
AC_WGS_35	D	1	5	10	5	23	0.53
AC_WGS_36	A	7	85	79	74	147	1.98
AC_WGS_37	B	7	106	96	33	110	0.58
RC597TH1	B	28	267	96	80	175	0.54
AC_WGS_39	B	18	115	90	45	97	1.87
AC_WGS_40	F	0	3	8	0	0	0.38
AC_WGS_41	B	46	370	165	138	278	3.87
AC_WGS_42	E	0	1	0	0	0	0.35
AC_WGS_43	C	0	6	1	4	5	0.5
AC_WGS_44	E	0	3	0	0	0	0.45
AC_WGS_45	E	0	5	0	0	0	0.42
AC_WGS_46	C	0	0	2	1	5	0.44
RC598TH1	A	11	40	41	21	71	0.43
RC599TH1	A	5	17	75	47	109	1.21
AC_WGS_49	D	5	21	26	6	27	1.12
AC_WGS_50	B	29	85	77	41	90	3.12
AC_WGS_51	F	6	15	25	5	15	1.05
AC_WGS_52	B	0	136	79	40	119	1.65
AC_WGS_53	B	4	50	56	18	25	0.52
RC602TH1	A	4	6	37	21	63	0.79
RC603TH1	A	30	140	217	170	283	15.15
