Code_legal	RS_cluster	APOBEC	Unknown
AC_WGS_1T	F	0.055525014	0.026937878
AC_WGS_2T	D	0	0
PGENE_1T	D	0.067301965	0
AC_WGS_4	B	0.226361032	0
AC_WGS_5	B	0	0
AC_WGS_6	B	0.083043938	0
PGENE_10T	A	0	0
PGENE_2T	D	0.461538462	0
AC_WGS_9T	A	0.086970075	0.053927681
AC_WGS_10	B	0	0
AC_WGS_11	A	0	0
AC_WGS_12	F	0	0
AC_WGS_13T	D	0	0.780153978
PGENE_4T	A	0	0
AC_WGS_15	C	0.086879433	0.035460993
PGENE_5T	D	0.040473225	0.043897883
AC_WGS_17	B	0.275849858	0
AC_WGS_18T	E	0	0
PGENE_6T	A	0.073649755	0
AC_WGS_20T	E	0	0.333333333
PGENE_8T	A	0.303006638	0
AC_WGS_22	F	0.122681883	0.042796006
AC_WGS_23	D	0.046153846	0
AC_WGS_24	C	0	0.163043478
AC_WGS_25	B	0.136244541	0
AC_WGS_26	C	0.069482289	0
AC_WGS_27	B	0.11572327	0
PGENE_9T	D	0.143691589	0
RC596TH1	C	0	0
AC_WGS_30	A	0.088683864	0
AC_WGS_31	D	0	0.428571429
AC_WGS_32	B	0.062619503	0
AC_WGS_33	D	0.068422348	0
AC_WGS_34	B	0.150884304	0
AC_WGS_35	D	0.088785047	0
AC_WGS_36	A	0.054985337	0
AC_WGS_37	B	0.198098257	0
RC597TH1	B	0.436075322	0
AC_WGS_39	B	0.116383881	0.05699894
AC_WGS_40	F	0	0.483870968
AC_WGS_41	B	0.110967998	0
AC_WGS_42	E	0	0.458333333
AC_WGS_43	C	0.09375	0
AC_WGS_44	E	0	0.277777778
AC_WGS_45	E	0	0.277777778
AC_WGS_46	C	0	0.163265306
RC598TH1	A	0.245685279	0
RC599TH1	A	0.034945398	0
AC_WGS_49	D	0	0.031979257
AC_WGS_50	B	0	0
AC_WGS_51	F	0	0.033333333
AC_WGS_52	B	0	0
AC_WGS_53	B	0.196551724	0
RC602TH1	A	0	0
RC603TH1	A	0	0
