Code_legal	BRAF_driven	NRAS_driven	BRAFNRAS	RS1	RS2	RS3	RS4	RS5
AC_WGS_1T	0	1	1	0.137967333	0.051130737	0.303027819	0.365158112	0.142715999
AC_WGS_2T	1	0	1	0.123410711	3.62E-15	0.347413181	0.217449839	0.311726269
PGENE_1T	1	0	1	0.125248815	0.005354355	0.517005424	0.146328704	0.206062702
AC_WGS_4	0	1	1	0.030962085	0.677758148	2.22E-06	0.002211003	0.28906654
AC_WGS_5	0	0	0	0.016401357	0.813777583	0.050967093	0.03285187	0.086002098
AC_WGS_6	0	0	0	0.051758866	0.509762433	0.034464912	0.054802576	0.349211214
PGENE_10T	0	0	0	0.023554966	0.069287075	0.023526772	3.29E-15	0.883631187
PGENE_2T	0	0	0	0.313213227	8.12E-08	0.355012684	0.055394124	0.276379884
AC_WGS_9T	0	1	1	0.057878937	0.230588739	0.086302903	0.087703833	0.537525587
AC_WGS_10	0	0	0	0.020389959	0.61723752	0.074592138	0.030278338	0.257502045
AC_WGS_11	0	1	1	0.153635233	0.11333951	0.196173462	0.092116497	0.444735298
AC_WGS_12	1	0	1	0.125793897	2.82E-15	0.037285354	0.836920748	1.33E-09
AC_WGS_13T	0	0	0	0.194665379	0.105938452	0.360903594	0.074276418	0.264216157
PGENE_4T	0	0	0	0.065580939	0.219354519	0.054828338	0.12363278	0.536603424
AC_WGS_15	0	0	0	0.288928076	0.193723317	0.432917036	0.015276411	0.069155159
PGENE_5T	0	1	1	0.049557611	0.035298395	0.447253661	0.237266816	0.230623517
AC_WGS_17	0	0	0	0.038584965	0.496407988	0.064197544	0.007889309	0.392920195
AC_WGS_18T	0	0	0	0.999982878	2.82E-06	3.68E-06	5.41E-06	5.21E-06
PGENE_6T	0	0	0	0.115145823	0.225418104	0.152974275	0.022550595	0.483911203
AC_WGS_20T	0	0	0	0.999980504	2.66E-06	6.57E-06	5.15E-06	5.11E-06
PGENE_8T	0	1	1	0.008797019	0.338584118	0.028656107	0.022179214	0.601783543
AC_WGS_22	0	1	1	2.68E-15	0.054093685	0.024320552	0.918237593	0.00334817
AC_WGS_23	0	0	0	0.079620912	0.065958819	0.285323513	0.253686658	0.315410098
AC_WGS_24	0	0	0	0.170744809	1.95E-07	0.829254137	5.68E-07	2.91E-07
AC_WGS_25	0	0	0	0.075952937	0.399893599	0.161175322	0.012549704	0.350428438
AC_WGS_26	0	0	0	0.32591234	4.10E-15	0.553501583	0.120585896	1.81E-07
AC_WGS_27	0	1	1	0.127120005	0.776442499	0.087356994	0.00907343	7.07E-06
PGENE_9T	1	0	1	0.069444195	1.34E-07	0.609458803	0.130442513	0.190654356
RC596TH1	1	0	1	0.336484619	0.010877419	0.438534947	0.214103016	3.91E-15
AC_WGS_30	0	0	0	0.065543956	0.098528506	0.211454282	0.150055067	0.474418189
AC_WGS_31	0	0	0	0.018537582	0.067624033	0.459945326	0.135246469	0.318646591
AC_WGS_32	0	0	0	0.169792699	0.433652851	0.218192153	0.044240797	0.1341215
AC_WGS_33	0	0	0	0.01541495	1.69E-08	0.382441586	0.168213014	0.433930434
AC_WGS_34	0	0	0	0.126814672	0.328548248	0.221391505	0.144161271	0.179084304
AC_WGS_35	0	0	0	0.100376862	0.023951847	0.514028978	3.97E-15	0.361642312
AC_WGS_36	0	1	1	0.033013215	0.295765542	0.164097962	0.021169226	0.485954054
AC_WGS_37	0	0	0	0.004722289	0.514218384	0.057502434	0.183276927	0.240279966
RC597TH1	0	0	0	0.012066554	0.717432853	3.52E-15	0.009181638	0.261318955
AC_WGS_39	0	1	1	0.115970059	0.350456121	0.222947727	0.107352541	0.203273551
AC_WGS_40	0	0	0	0.168802776	5.09E-07	2.81E-15	0.831195918	7.98E-07
AC_WGS_41	0	0	0	0.094146893	0.527166378	0.089763618	0.04092754	0.247995571
AC_WGS_42	0	0	0	0.999912246	1.05E-05	2.72E-05	2.11E-05	2.89E-05
AC_WGS_43	0	0	0	0.416729542	2.94E-07	0.478816988	0.104452645	5.31E-07
AC_WGS_44	0	0	0	0.999982878	2.82E-06	3.68E-06	5.41E-06	5.21E-06
AC_WGS_45	0	0	0	0.99999236	1.34E-06	1.33E-06	2.67E-06	2.30E-06
AC_WGS_46	0	0	0	7.42E-15	1.47E-06	0.999993811	2.41E-06	2.31E-06
RC598TH1	0	0	0	0.058212775	0.293426176	0.166823764	0.064796934	0.416740352
RC599TH1	0	1	1	0.042523132	0.008005729	0.285955979	0.073821125	0.589694035
AC_WGS_49	0	0	0	0.157101773	0.143906065	0.292569869	0.210155629	0.196266664
AC_WGS_50	0	1	1	0.098078136	0.320817697	0.188855971	0.152640747	0.239607448
AC_WGS_51	1	0	1	0.24024414	1.39E-08	0.383518109	0.376237389	3.48E-07
AC_WGS_52	0	1	1	0.006430034	0.657562284	0.112313456	0.050331633	0.173362594
AC_WGS_53	0	0	0	0.024475613	0.451585628	3.24E-15	0.293047966	0.230890793
RC602TH1	0	0	0	0.023602664	0.007953002	0.251615044	0.03707286	0.679756431
RC603TH1	0	0	0	0.026002305	0.202137332	0.05711376	0.083992377	0.630754226
