Arm	CharmTSG_score	CharmOG_score	CharmEssential_score	Charm(TSG-OG)score	Charm(TSG-OG-Ess)score
1p	2.528134255	0.968410661	3.101678184	1.059055281	-0.95393386
1q	0.708559047	1.034669556	1.88624052	-0.86103467	-2.085204767
2p	2.094091904	1.66083151	3.507658643	-0.425389497	-2.701859956
2q	2.280605227	2.012379642	3.475928473	-0.772174691	-3.02805227
3p	2.726337449	1.648148148	4.187242798	0.226096708	-2.491423868
3q	0.457350272	1.174228675	2.029038113	-1.323954628	-2.640800363
4p	2.538834951	0.966019417	1.548543689	1.073383495	0.068378641
4q	1.461232604	1.351888668	1.471172962	-0.589582505	-1.544373757
5p	0.417266187	0.366906475	2.985611511	-0.139330935	-2.076992806
5q	2.453505007	0.978540773	3.391988555	0.969058655	-1.232341917
6p	1.506849315	0.953767123	4.089041096	0.059984589	-2.593803082
6q	2.895883777	0.907990315	1.220338983	1.51846247	0.72646247
7p	0.817204301	3.340501792	3.505376344	-4.250336918	-6.525326165
7q	0.636678201	2.038062284	1	-2.455062284	-3.104062284
8p	0	1.054621849	1.079831933	-1.599861345	-2.300672269
8q	0.663265306	1.545918367	4.875	-1.681892857	-4.845767857
9p	2.069306931	0	2.153465347	2.069306931	0.671707921
9q	0.780442804	1.715867159	2.424354244	-1.822527675	-3.395933579
10p	4.144736842	0.75	1.407894737	3.006986842	2.093263158
10q	1.918032787	0.774134791	1.435336976	0.74367031	-0.187863388
11p	1.218604651	1.351162791	3.534883721	-0.831109302	-3.125248837
11q	1.407090465	0.850855746	2.519559902	0.116342298	-1.518852078
12p	1.532608696	3.344202899	1.858695652	-3.540547101	-4.74684058
12q	2.246861925	2.153417015	4.741980474	-1.019871688	-4.097417015
13q	3.590759076	1.570957096	1.755775578	1.207617162	0.068118812
14q	2.436206897	1.136206897	4.186206897	0.712581034	-2.004267241
15q	2.666051661	1.26199262	3.780442804	0.751608856	-1.701898524
16p	1.590361446	0.963855422	4.351807229	0.128192771	-2.69613012
16q	3.549019608	0.616246499	4.033613445	2.614173669	-0.003641457
17p	3.94984326	0.915360502	3.319749216	2.561241379	0.406724138
17q	2.149425287	1.376756066	4.818646232	0.060886335	-3.06641507
18p	0	0	0.621212121	0	-0.403166667
18q	2.87628866	0.634020619	1.350515464	1.914479381	1.037994845
19p	1.136206897	2.136206897	3.736206897	-2.104418966	-4.529217241
19q	1.242744063	0.699208443	2.040897098	0.182044855	-1.142497361
20p	0.316384181	1.451977401	4.13559322	-1.886265537	-4.570265537
20q	0.583815029	1.523121387	3.332369942	-1.726760116	-3.889468208
21q	1.422535211	1.971830986	1.14084507	-1.568732394	-2.309140845
22q	2.6352657	0.698067633	1.263285024	1.576297101	0.756425121
