Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome
TP53	7.15E-104	1.33E-99	0.999335209	17
PTEN	3.57E-101	3.33E-97	0.999835779	10
CDKN2A	9.81E-96	6.11E-92	0.988741942	9
ARID1A	6.49E-88	3.03E-84	0.999665006	1
APC	2.98E-86	1.11E-82	0.999279455	5
PBRM1	5.37E-67	1.67E-63	0.999195273	3
RB1	2.62E-66	6.99E-63	0.999302125	13
VHL	4.27E-62	9.97E-59	0.999155256	3
NF1	3.81E-59	7.91E-56	0.993015241	17
MAP3K1	9.34E-52	1.74E-48	0.997789344	5
SMAD4	1.46E-47	2.48E-44	0.997653552	18
KDM6A	3.33E-46	5.18E-43	0.99767053	X
GATA3	6.02E-45	8.65E-42	0.998092072	10
ARID2	1.53E-36	2.04E-33	0.990262553	12
SETD2	2.23E-32	2.78E-29	0.996542719	3
KMT2D	2.69E-32	3.14E-29	0.993478222	12
NPM1	1.48E-31	1.62E-28	0.8409401	5
ATRX	3.15E-30	3.27E-27	0.991244751	X
FBXW7	6.03E-29	5.93E-26	0.987725935	4
KMT2C	1.99E-27	1.86E-24	0.969505436	7
PIK3R1	3.41E-26	3.03E-23	0.996535198	5
CASP8	7.29E-24	6.19E-21	0.996614	2
CDH1	2.16E-23	1.75E-20	0.994076871	16
CTCF	2.84E-23	2.21E-20	0.994066405	16
ATM	1.95E-22	1.45E-19	0.965068542	11
CIC	7.67E-21	5.51E-18	0.975286939	19
RUNX1	1.47E-19	1.01E-16	0.991319539	21
RPL22	4.26E-19	2.84E-16	0.998961337	1
STAG2	1.46E-17	9.42E-15	0.975587255	X
FAT1	5.00E-17	3.11E-14	0.976997175	4
NOTCH1	6.32E-17	3.81E-14	0.978529545	9
MAP2K4	9.26E-17	5.40E-14	0.992692139	17
BAP1	7.84E-16	4.44E-13	0.989877252	3
RNF43	2.02E-15	1.11E-12	0.925278914	17
ARHGAP35	2.23E-14	1.19E-11	0.976616904	19
ZC3H13	3.09E-14	1.60E-11	0.971579754	13
RASA1	1.93E-13	9.74E-11	0.99020511	5
STK11	3.09E-13	1.52E-10	0.995866931	19
CDKN1A	4.90E-13	2.35E-10	0.62948613	6
EP300	9.33E-13	4.36E-10	0.908485666	22
CDKN1B	1.23E-12	5.62E-10	0.992173455	12
ARID1B	2.74E-12	1.22E-09	0.943650098	6
B2M	2.12E-11	9.20E-09	0.986882184	15
KDM5C	5.22E-11	2.22E-08	0.970761472	X
IL32	6.41E-11	2.66E-08	0.981316004	16
FUBP1	7.55E-11	3.07E-08	0.978641784	1
TGFBR2	1.90E-10	7.56E-08	0.983672588	3
KANSL1	3.66E-10	1.42E-07	0.949939319	17
BCOR	7.17E-10	2.73E-07	0.898030504	X
GPS2	3.02E-09	1.13E-06	0.98202202	17
SMARCA4	3.83E-09	1.40E-06	0.82896604	19
LARP4B	5.92E-09	2.13E-06	0.937429868	10
NSD1	8.35E-09	2.94E-06	0.90552866	5
HLA-A	1.12E-08	3.88E-06	0.973643384	6
CRIPAK	1.44E-08	4.90E-06	0.924266798	4
AOAH	1.50E-08	5.00E-06	0.954678004	7
CREBBP	2.01E-08	6.60E-06	0.936810641	16
TNRC6B	2.34E-08	7.53E-06	0.871573561	22
ACVR1B	2.64E-08	8.37E-06	0.952246767	12
DNMT3A	2.97E-08	9.14E-06	0.643231195	2
ACVR2A	2.98E-08	9.14E-06	0.993333101	2
RERE	3.11E-08	9.37E-06	0.947945624	1
ASXL1	3.27E-08	9.70E-06	0.861275786	20
NCOR1	3.96E-08	1.15E-05	0.933401605	17
USP28	5.61E-08	1.61E-05	0.943267399	11
THRAP3	5.86E-08	1.66E-05	0.756096785	1
MEN1	6.87E-08	1.91E-05	0.982550123	11
TBX3	7.70E-08	2.12E-05	0.920461354	12
ZFP36L2	8.72E-08	2.36E-05	0.808317728	2
ID3	1.42E-07	3.78E-05	0.951831704	1
SMAD2	2.61E-07	6.86E-05	0.981921991	18
NOTCH2	2.76E-07	7.17E-05	0.827342455	1
TBL1XR1	2.81E-07	7.19E-05	0.677113515	3
ZFP36L1	3.24E-07	8.15E-05	0.933714778	14
SMARCB1	3.27E-07	8.15E-05	0.972244112	22
RBMX	4.57E-07	0.000111395	0.963873092	X
AJUBA	4.59E-07	0.000111395	0.977188238	14
TET2	4.67E-07	0.000111954	0.908375334	4
CDK12	4.84E-07	0.000114408	0.626764919	17
ELF3	4.98E-07	0.000116325	0.852910078	1
WT1	5.76E-07	0.000132855	0.60435675	11
KEAP1	5.93E-07	0.000135105	0.682518473	19
PLEKHA6	6.39E-07	0.000143699	0.490440036	1
HLA-B	7.60E-07	0.000168956	0.969580354	6
NF2	8.61E-07	0.000189198	0.986388834	22
RBM10	9.22E-07	0.000200219	0.970375013	X
CHD8	9.71E-07	0.000208545	0.846365163	14
