Chromosome	Start_Position	End_Position	nMuts	Avg_intermutation_dist	Size	Tumor_Sample_Barcode	C>A	C>G	C>T	NA
8	11189985	11190496	6	102.2	511	RC598TH1	1	3	2	NA
9	3558438	3559079	9	80.125	641	RC598TH1	1	3	5	NA
9	34616130	34619651	14	270.846153846154	3521	RC598TH1	3	5	6	NA
11	20242730	20243245	7	85.8333333333333	515	RC598TH1	1	3	2	1
11	72767365	72767819	9	56.75	454	RC598TH1	NA	NA	9	NA
11	73799677	73802611	13	244.5	2934	RC598TH1	NA	NA	13	NA
11	74614179	74614788	9	76.125	609	RC598TH1	NA	NA	9	NA
11	75373110	75378940	54	110	5830	RC598TH1	NA	NA	53	1
11	76515867	76521815	6	1189.6	5948	RC598TH1	NA	1	5	NA
17	33760783	33764828	18	237.941176470588	4045	RC598TH1	1	8	9	NA
23	30055965	30062104	10	682.111111111111	6139	RC598TH1	1	7	2	NA
