CNV_status	Region	Gene
Amp	3q26.32	hsa-mir-922
Amp	3q26.32	hsa-mir-570
Amp	3q26.32	hsa-mir-3137
Amp	3q26.32	hsa-mir-944
Amp	3q26.32	hsa-mir-28
Amp	3q26.32	hsa-mir-1248
Amp	3q26.32	hsa-mir-1224
Amp	3q26.32	hsa-mir-569
Amp	3q26.32	hsa-mir-551b
Amp	3q26.32	hsa-mir-720
Amp	3q26.32	hsa-mir-1263
Amp	3q26.32	hsa-mir-16-2
Amp	3q26.32	AADAC
Amp	3q26.32	ACTL6A
Amp	3q26.32	AGTR1
Amp	3q26.32	AHSG
Amp	3q26.32	APOD
Amp	3q26.32	ATR
Amp	3q26.32	BCHE
Amp	3q26.32	BCL6
Amp	3q26.32	BDH1
Amp	3q26.32	AP2M1
Amp	3q26.32	CLCN2
Amp	3q26.32	CP
Amp	3q26.32	CPA3
Amp	3q26.32	CPB1
Amp	3q26.32	CPN2
Amp	3q26.32	CRYGS
Amp	3q26.32	DGKG
Amp	3q26.32	DLG1
Amp	3q26.32	DVL3
Amp	3q26.32	ECT2
Amp	3q26.32	EHHADH
Amp	3q26.32	EIF4A2
Amp	3q26.32	EIF4G1
Amp	3q26.32	EPHB3
Amp	3q26.32	ETV5
Amp	3q26.32	MECOM
Amp	3q26.32	FGF12
Amp	3q26.32	GHSR
Amp	3q26.32	GP5
Amp	3q26.32	GYG1
Amp	3q26.32	HRG
Amp	3q26.32	HES1
Amp	3q26.32	IL1RAP
Amp	3q26.32	IL12A
Amp	3q26.32	KNG1
Amp	3q26.32	KPNA4
Amp	3q26.32	LPP
Amp	3q26.32	TM4SF1
Amp	3q26.32	MBNL1
Amp	3q26.32	MFI2
Amp	3q26.32	MLF1
Amp	3q26.32	MME
Amp	3q26.32	MUC4
Amp	3q26.32	NDUFB5
Amp	3q26.32	OPA1
Amp	3q26.32	CLDN11
Amp	3q26.32	P2RY1
Amp	3q26.32	PAK2
Amp	3q26.32	PCYT1A
Amp	3q26.32	PFN2
Amp	3q26.32	SERPINI1
Amp	3q26.32	SERPINI2
Amp	3q26.32	PIK3CA
Amp	3q26.32	PLD1
Amp	3q26.32	PLOD2
Amp	3q26.32	PLS1
Amp	3q26.32	PLSCR1
Amp	3q26.32	POLR2H
Amp	3q26.32	PPP1R2
Amp	3q26.32	PRKCI
Amp	3q26.32	MASP1
Amp	3q26.32	PSMD2
Amp	3q26.32	PTX3
Amp	3q26.32	RAP2B
Amp	3q26.32	RARRES1
Amp	3q26.32	RFC4
Amp	3q26.32	SNORA63
Amp	3q26.32	RPL35A
Amp	3q26.32	TRA2B
Amp	3q26.32	SHOX2
Amp	3q26.32	SI
Amp	3q26.32	SIAH2
Amp	3q26.32	ST6GAL1
Amp	3q26.32	SKIL
Amp	3q26.32	SLC2A2
Amp	3q26.32	HLTF
Amp	3q26.32	SOX2
Amp	3q26.32	SSR3
Amp	3q26.32	SST
Amp	3q26.32	TERC
Amp	3q26.32	TFRC
Amp	3q26.32	THPO
Amp	3q26.32	SEC62
Amp	3q26.32	TM4SF4
Amp	3q26.32	TRPC1
Amp	3q26.32	CLRN1
Amp	3q26.32	ZIC1
Amp	3q26.32	KCNAB1
Amp	3q26.32	FXR1
Amp	3q26.32	TP63
Amp	3q26.32	CHRD
Amp	3q26.32	B3GALNT1
Amp	3q26.32	TNFSF10
Amp	3q26.32	GMPS
Amp	3q26.32	EIF2B5
Amp	3q26.32	USP13
Amp	3q26.32	CLDN1
Amp	3q26.32	MAP3K13
Amp	3q26.32	SLC33A1
Amp	3q26.32	ADIPOQ
Amp	3q26.32	CHST2
Amp	3q26.32	KIAA0226
Amp	3q26.32	ECE2
Amp	3q26.32	TSC22D2
Amp	3q26.32	P2RY14
Amp	3q26.32	SMC4
Amp	3q26.32	ABCC5
Amp	3q26.32	TNK2
Amp	3q26.32	ALG3
Amp	3q26.32	KCNMB2
Amp	3q26.32	IGF2BP2
Amp	3q26.32	CLDN16
Amp	3q26.32	PDCD10
Amp	3q26.32	RNF13
Amp	3q26.32	SLITRK3
Amp	3q26.32	NLGN1
Amp	3q26.32	NCBP2
Amp	3q26.32	PLCH1
Amp	3q26.32	TNIK
Amp	3q26.32	MCF2L2
Amp	3q26.32	ATP11B
Amp	3q26.32	U2SURP
Amp	3q26.32	VPS8
Amp	3q26.32	ACAP2
Amp	3q26.32	WWTR1
Amp	3q26.32	TIPARP
Amp	3q26.32	UBXN7
Amp	3q26.32	ARHGEF26
Amp	3q26.32	PCOLCE2
Amp	3q26.32	GPR160
Amp	3q26.32	FETUB
Amp	3q26.32	LAMP3
Amp	3q26.32	KCNMB3
Amp	3q26.32	SERP1
Amp	3q26.32	GOLIM4
Amp	3q26.32	GPR171
Amp	3q26.32	SCHIP1
Amp	3q26.32	NMD3
Amp	3q26.32	COMMD2
Amp	3q26.32	ZNF639
Amp	3q26.32	RSRC1
Amp	3q26.32	PEX5L
Amp	3q26.32	SELT
Amp	3q26.32	DNAJB11
Amp	3q26.32	P2RY13
Amp	3q26.32	GPR87
Amp	3q26.32	DCUN1D1
Amp	3q26.32	KLHL24
Amp	3q26.32	PIGX
Amp	3q26.32	TBCCD1
Amp	3q26.32	LEPREL1
Amp	3q26.32	ABCF3
Amp	3q26.32	LSG1
Amp	3q26.32	PARL
Amp	3q26.32	MFN1
Amp	3q26.32	YEATS2
Amp	3q26.32	MYNN
Amp	3q26.32	EIF5A2
Amp	3q26.32	SUCNR1
Amp	3q26.32	MCCC1
Amp	3q26.32	LXN
Amp	3q26.32	CCNL1
Amp	3q26.32	PLSCR2
Amp	3q26.32	PLSCR4
Amp	3q26.32	HRASLS
Amp	3q26.32	MRPL47
Amp	3q26.32	NCEH1
Amp	3q26.32	IFT80
Amp	3q26.32	SLC7A14
Amp	3q26.32	SENP2
Amp	3q26.32	GNB4
Amp	3q26.32	RTP4
Amp	3q26.32	MAGEF1
Amp	3q26.32	ZMAT3
Amp	3q26.32	MFSD1
Amp	3q26.32	FNDC3B
Amp	3q26.32	P2RY12
Amp	3q26.32	ATP13A3
Amp	3q26.32	VEPH1
Amp	3q26.32	TBL1XR1
Amp	3q26.32	ZBBX
Amp	3q26.32	LRRC31
Amp	3q26.32	MAP6D1
Amp	3q26.32	PHC3
Amp	3q26.32	ARL14
Amp	3q26.32	PIGZ
Amp	3q26.32	SPATA16
Amp	3q26.32	EIF2A
Amp	3q26.32	B3GNT5
Amp	3q26.32	ZIC4
Amp	3q26.32	IQCG
Amp	3q26.32	ATP13A4
Amp	3q26.32	FYTTD1
Amp	3q26.32	HPS3
Amp	3q26.32	ARPM1
Amp	3q26.32	MGC2889
Amp	3q26.32	LRCH3
Amp	3q26.32	CEP19
Amp	3q26.32	GFM1
Amp	3q26.32	LMLN
Amp	3q26.32	KLHL6
Amp	3q26.32	VWA5B2
Amp	3q26.32	TMEM41A
Amp	3q26.32	TMEM44
Amp	3q26.32	EGFEM1P
Amp	3q26.32	CAMK2N2
Amp	3q26.32	TM4SF19
Amp	3q26.32	TM4SF18
Amp	3q26.32	RPL39L
Amp	3q26.32	MED12L
Amp	3q26.32	CLRN1-AS1
Amp	3q26.32	DNAJC19
Amp	3q26.32	OTOL1
Amp	3q26.32	FAM131A
Amp	3q26.32	ZDHHC19
Amp	3q26.32	LRRC15
Amp	3q26.32	FAM43A
Amp	3q26.32	FAM194A
Amp	3q26.32	TMEM207
Amp	3q26.32	RTP1
Amp	3q26.32	TTC14
Amp	3q26.32	PPM1L
Amp	3q26.32	WDR49
Amp	3q26.32	LRRC34
Amp	3q26.32	MB21D2
Amp	3q26.32	XXYLT1
Amp	3q26.32	C3orf55
Amp	3q26.32	C3orf79
Amp	3q26.32	CCDC50
Amp	3q26.32	PYDC2
Amp	3q26.32	LOC152217
Amp	3q26.32	SPTSSB
Amp	3q26.32	RNF168
Amp	3q26.32	DHX36
Amp	3q26.32	HTR3C
Amp	3q26.32	LIPH
Amp	3q26.32	HTR3D
Amp	3q26.32	RPL22L1
Amp	3q26.32	OSTalpha
Amp	3q26.32	FBXO45
Amp	3q26.32	MUC20
Amp	3q26.32	LOC201651
Amp	3q26.32	C3orf58
Amp	3q26.32	SENP5
Amp	3q26.32	LOC220729
