Gene	chr	q	residual_q	peak	Type
TERT	5p15.33	2.6569e-12	2.6569e-12	chr5:1242002-1270999	Amp
SLC6A18	5p15.33	2.6569e-12	2.6569e-12	chr5:1242002-1270999	Amp
GAB2	11q14.1	4.7061e-08	4.7061e-08	chr11:78027002-78142999	Amp
hsa-mir-1281	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
EP300	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
MCHR1	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
ST13	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
RBX1	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
SLC25A17	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
MKL1	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
XPNPEP3	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
L3MBTL2	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
DNAJB7	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
MIR1281	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
MIR4766	22q13.2	6.9567e-07	9.0694e-05	chr22:40812002-41610023	Amp
[LINC00221]	14q32.33	0.00051062	0.00051062	chr14:107223239-107349540	Amp
PHF3	6q12	0.00059118	0.00059118	chr6:64362201-64518764	Amp
EYS	6q12	0.00059118	0.00059118	chr6:64362201-64518764	Amp
[LOC730441]	7q34	0.0008951	0.0008951	chr7:142048002-142232888	Amp
hsa-mir-548a-1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
BMP6	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
BPHL	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
DSP	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
EDN1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SERPINB1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
F13A1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
GCNT2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
GMPR	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
HIVEP1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
JARID2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MAK	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
NEDD9	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
NQO2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SERPINB6	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SERPINB9	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RREB1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
ATXN1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SSR1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TFAP2A	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TPMT	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TUBB2A	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
DEK	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RIPK1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PRPF4B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
GCM2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
CD83	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
CDYL	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LY86	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
EEF1E1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
NUP153	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RANBP9	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
ECI2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
CAP2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
FARS2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RPP40	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SIRT5	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
FAM50B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MYLIP	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SLC35B3	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TBC1D7	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
NRN1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
NOL7	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
FAM8A1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TMEM14C	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
GFOD1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
ELOVL2	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PAK1IP1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
WRNIP1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LYRM4	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SLC22A23	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MUTED	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
CCDC90A	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
KIF13A	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TXNDC5	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
TMEM14B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RIOK1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
DTNBP1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
ADTRP	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SNRNP48	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PIP5K1P1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
KDM1B	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RBM24	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
RNF182	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PHACTR1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
C6orf228	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
SYCP2L	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
LINC00518	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
PXDC1	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
MGC39372	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
FAM217A	6p24.2	0.0025436	0.0025436	chr6:2777981-19696394	Amp
