loc1	loc1-total	loc2	loc2-total	overlap	p.value
chr11	391	chr3	146	35	7.76545422364816e-07
chr11	391	chr4	199	45	1.18740365896035e-07
chr11	391	chr6	517	71	0.00397706726046779
chr12	620	chr5	1340	381	8.74477937612494e-49
chr14	183	chr5	1340	107	3.29859873475798e-11
chr15	246	chr12	620	57	0.00222061656063498
chr16	164	chr10	93	11	0.00187479503416951
chr17	249	chr10	93	11	0.0378156742169603
chr17	249	chr13	164	29	4.35184607607539e-07
chr17	249	chr16	164	31	3.34557013938234e-08
chr18	122	chr9	345	38	1.62750388820379e-12
chr19	116	chr11	391	26	7.49729842573262e-05
chr19	116	chr3	146	11	0.0043480425424527
chr21	122	chr10	93	8	0.0090640179806023
chr21	122	chr20	155	56	8.9770448709787e-49
chr21	122	chr3	146	10	0.0172660818051953
chr22	1017	chr13	164	65	0.000143557301384929
chr4	199	chr2	108	13	0.00362029744437388
chr7	630	chr5	1340	252	0.0029078370634692
chr9	345	chr8	489	125	2.40957007343765e-32
chrX	94	chr10	93	6	0.025945138468912
chrX	94	chr4	199	29	6.6323647706608e-16
