cytoband	5p15.33	11q14.1	22q13.2	14q32.33	6q12	7q34	6p24.2	7p22.1	12p12.1	12q14.1	17q22	22q11.21	8q24.3	15q26.3	4q12	3p26.3	
q value	2.6569e-12	4.7061e-08	6.9567e-07	0.00051062	0.00059118	0.0008951	0.0025436	0.0036072	0.010646	0.016542	0.024266	0.0017439	0.050179	0.050179	0.18499	0.2132	
residual q value	2.6569e-12	4.7061e-08	9.0694e-05	0.00051062	0.00059118	0.0008951	0.0025436	0.0036072	0.010646	0.016542	0.024266	0.046353	0.050179	0.050179	0.18499	0.2132	
wide peak boundaries	chr5:1242002-1270999	chr11:78027002-78142999	chr22:40812002-41610023	chr14:107223239-107349540	chr6:64362201-64518764	chr7:142048002-142232888	chr6:2777981-19696394	chr7:6870933-7578351	chr12:25341124-25579335	chr12:58133257-58238999	chr17:49437721-81195210	chr22:21252508-21458081	chr8:120734285-146364022	chr15:75650973-102531392	chr4:53587002-60362095	chr3:1-168687	
genes in wide peak	TERT	GAB2	hsa-mir-1281	[LINC00221]	PHF3	[LOC730441]	hsa-mir-548a-1	C1GALT1	KRAS	hsa-mir-26a-2	hsa-mir-3186	hsa-mir-649	hsa-mir-1234	hsa-mir-1302-10	IGFBP7	[CHL1]	
	SLC6A18		EP300		EYS		BMP6	COL28A1	CASC1	CDK4	hsa-mir-1250	CRKL	hsa-mir-939	hsa-mir-1469	KDR		
			MCHR1				BPHL	LOC100131257	LYRM5	CYP27B1	hsa-mir-4316	SLC7A4	hsa-mir-661	hsa-mir-3175	KIT		
			ST13				DSP			METTL1	hsa-mir-636	LZTR1	hsa-mir-937	hsa-mir-3174	PDGFRA		
			RBX1				EDN1			TSPAN31	hsa-mir-635	P2RX6	hsa-mir-1302-7	hsa-mir-9-3	POLR2B		
			SLC25A17				SERPINB1			TSFM	hsa-mir-548d-2	THAP7	hsa-mir-151	hsa-mir-7-2	PPAT		
			MKL1				F13A1			CTDSP2	hsa-mir-634	MGC16703	hsa-mir-30d	hsa-mir-1276	REST		
			XPNPEP3				GCNT2			AVIL	hsa-mir-4315-2	AIFM3	hsa-mir-1208	hsa-mir-549	SPINK2		
			L3MBTL2				GMPR			METTL21B	hsa-mir-633	LOC400891	hsa-mir-1207	hsa-mir-184	SRP72		
			DNAJB7				HIVEP1			MARCH9	hsa-mir-21	BCRP2	hsa-mir-1205	hsa-mir-4313	CLOCK		
			MIR1281				JARID2			AGAP2	hsa-mir-301a	THAP7-AS1	hsa-mir-1204	ACAN	CEP135		
			MIR4766				MAK			MIR26A2	hsa-mir-142	P2RX6P	hsa-mir-548d-1	ALDH1A3	PAICS		
							NEDD9				AANAT		ADCY8	ANPEP	NMU		
							NQO2				ACOX1		ANXA13	BCL2A1	CHIC2		
							SERPINB6				ACTG1		BAI1	BLM	EXOC1		
							SERPINB9				BIRC5		CYC1	BNC1	TMEM165		
							RREB1				APOH		CYP11B1	CHD2	KIAA1211		
							ATXN1				ARHGDIA		CYP11B2	CHRNA3	RASL11B		
							SSR1				CA4		EEF1D	CHRNA5	SRD5A3		
							TFAP2A				CACNG1		GLI4	CHRNB4	FIP1L1		
							TPMT				CD7		GML	CRABP1	NOA1		
							TUBB2A				CD79B		GPR20	CSPG4	HOPX		
							DEK				CDK3		GPT	CTSH	LNX1		
							RIPK1				CLTC		GRINA	ETFA	ARL9		
							PRPF4B				COX11		HAS2	FAH	AASDH		
							GCM2				CSH1		HSF1	FES	PDCL2		
