cytoband	6q21	16p13.3	15q15.1	17p13.3	19p13.3	16q22.1	10p13	22q13.33	10q21.3	9p21.3	17q21.2	9p24.1	12q24.31	9q33.3	11q23.3	14q32.33	5q13.2	5p15.1	3p21.31	8p12	12p13.31	11p15.4	1p36.33	20q13.33	7q11.23	3q22.3	16q24.3	19q13.33	22q12.3	2q37.3	21q22.12	13q12.11	11q13.1	
q value	1.1157e-05	0.00099668	0.0011175	0.0019335	0.0029734	0.0036482	0.0052124	0.0021393	0.0069583	0.00073777	0.0088054	0.0031401	0.0095843	0.0099779	0.0019335	0.021749	0.023681	0.023681	0.028508	0.041673	0.041673	0.042009	0.045815	0.05655	0.058033	0.091793	0.02694	0.11856	0.054687	0.1992	0.20405	0.22395	0.011537	
residual q value	1.1157e-05	0.00099668	0.0011175	0.0019335	0.0029734	0.0038835	0.0052124	0.0057207	0.0069583	0.007261	0.0088054	0.0095419	0.0095843	0.0099779	0.011133	0.021749	0.023681	0.023681	0.028508	0.041673	0.041673	0.042009	0.045815	0.05655	0.058033	0.091793	0.11856	0.11856	0.11996	0.1992	0.20405	0.22395	0.24761	
wide peak boundaries	chr6:107310002-107564699	chr16:175728-3959611	chr15:40910708-42026362	chr17:160515-2798548	chr19:1-8517385	chr16:70194665-70596207	chr10:11979763-12452999	chr22:50209002-51304566	chr10:70085530-70788790	chr9:21894002-22064390	chr17:39796554-41383771	chr9:6641860-6779276	chr12:120258002-124204157	chr9:127695364-128131014	chr11:118160852-119285007	chr14:105278922-106054790	chr5:68326129-68824999	chr5:16836006-16983999	chr3:47066204-50136164	chr8:33237002-33543999	chr12:7809428-8166717	chr11:9230739-9614999	chr1:1-2583999	chr20:62136002-62695930	chr7:72268673-76056048	chr3:138411958-138640138	chr16:87679413-90354753	chr19:46816002-51818150	chr22:32240002-32322999	chr2:242244343-242867145	chr21:37476976-37818206	chr13:20370996-20547828	chr11:60758002-66040048	
genes in wide peak	C6orf203	hsa-mir-3178	hsa-mir-626	hsa-mir-1253	hsa-mir-220b	AARS	CDC123	ACR	hsa-mir-1254	CDKN2A	ACLY	GLDC	hsa-mir-4304	GOLGA1	ARCN1	CRIP1	CCNB1	MYO10	hsa-mir-4271	DUSP26	APOBEC1	WEE1	hsa-mir-429	hsa-mir-647	hsa-mir-590	PIK3CB	AFG3L1P	hsa-mir-150	DEPDC5	hsa-mir-3133	CBR3	ZMYM2	hsa-mir-612	
	PDSS2	hsa-mir-940	GCHFR	hsa-mir-212	hsa-mir-7-3	ST3GAL2	NUDT5	ARSA	DNA2	CDKN2B	AOC2	KDM4C	ACADS	HSPA5	CXCR5	CRIP2	CDK7		hsa-mir-191	RNF122	SLC2A3	ZNF143	hsa-mir-1302-2	PTK6	hsa-mir-4284		APRT	hsa-mir-4324		BOK	CHAF1B	ZMYM5	hsa-mir-194-2	
	BEND3	hsa-mir-1225	ITPKA	hsa-mir-22	hsa-mir-637	DDX19B	UPF2	CHKB	HNRNPH3	C9orf53	ATP6V0A1		BCL7A	PPP6C	CBL	BRF1	RAD17		hsa-mir-711	TTI2	GDF3	IPO7	CDK11B	SRMS	CLDN4		C16orf3	hsa-mir-220c		DTYMK	DOPEY2		hsa-mir-1237	
		hsa-mir-3177	LTK	hsa-mir-3183	hsa-mir-4321	SF3B3	SEC61A2	CPT1B	SLC25A16	CDKN2B-AS1	BRCA1		COX6A1	RABEPK	CD3D	JAG2	TAF9		hsa-mir-2115	MAK16	NANOG	DENND5A	DVL1	TCEA2	CLDN3		CA5A	hsa-mir-3191		HDLBP	MORC3		hsa-mir-1908	
		hsa-mir-662	RAD51	ABR	hsa-mir-1909	COG4	DHTKD1	TYMP	DDX21		CNP		EIF2B1	GAPVD1	CD3E	MTA1	SLC30A5		hsa-mir-1226	FUT10	SLC2A14	TMEM41B	GABRD	TPD52L2	ELN		CBFA2T3	hsa-mir-320e		SEPT2	LOC100133286		ARL2	
		hsa-mir-3176	SPINT1	CRK	hsa-mir-3187	PDPR	CAMK1D	MAPK11	KIAA1279		EZH1		GTF2H3	SCAI	CD3G	PACS2	CENPH		AMT		CLEC4C	LOC644656	GNB1	TNFRSF6B	GTF2I		CDH15	AP2A1		PDCD1	CBR3-AS1		BAD	
		ABCA3	TYRO3	DPH1	hsa-mir-1302-11	DDX19A		MAPK12	RUFY2		GAST		HPD		DDX6	GPR132	MRPS36		APEH		DPPA3	SNORA23	PEX10	ARFRP1	GTF2IP1		CYBA	KLK3		FARP2			C11orf2	
