Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome	TSG_Score	TSG_Rank	TUSON_p_value_OG	TUSON_q_value_OG	OG_Probability_LASSO	Chromosome	OG_Score	OG_Rank
TP53	7.15E-104	1.33E-99	0.999335209	17	98.87614836	1	1	1	0.402668507	17	0	18350
PTEN	3.57E-101	3.33E-97	0.999835779	10	96.47755577	2	1	1	0.340443546	10	0	18382
CDKN2A	9.81E-96	6.11E-92	0.988741942	9	91.21395879	3	1	1	0.29570494	9	0	18418
ARID1A	6.49E-88	3.03E-84	0.999665006	1	83.51855737	4	1	1	0.202598428	1	0	18578
APC	2.98E-86	1.11E-82	0.999279455	5	81.95467702	5	1	1	0.205272026	5	0	18572
PBRM1	5.37E-67	1.67E-63	0.999195273	3	62.77728353	6	1	1	0.205676728	3	0	18571
RB1	2.62E-66	6.99E-63	0.999302125	13	62.15552282	7	1	1	0.214801627	13	0	18549
VHL	4.27E-62	9.97E-59	0.999155256	3	58.00130484	8	1	1	0.303329873	3	0	18411
NF1	3.81E-59	7.91E-56	0.993015241	17	55.10182352	9	1	1	0.224098728	17	0	18526
MAP3K1	9.34E-52	1.74E-48	0.997789344	5	47.75945075	10	1	1	0.245651127	5	0	18483
SMAD4	1.46E-47	2.48E-44	0.997653552	18	43.60554832	11	1	1	0.332427104	18	0	18387
KDM6A	3.33E-46	5.18E-43	0.99767053	X	42.28567024	12	1	1	0.223175909	X	0	18529
GATA3	6.02E-45	8.65E-42	0.998092072	10	41.06298389	13	1	1	0.245327599	10	0	18484
ARID2	1.53E-36	2.04E-33	0.990262553	12	32.69036983	14	1	1	0.215626958	12	0	18547
SETD2	2.23E-32	2.78E-29	0.996542719	3	28.5559552	15	1	1	0.213644802	3	0	18553
KMT2D	2.69E-32	3.14E-29	0.993478222	12	28.50307035	16	1	1	0.193994833	12	0	18596
NPM1	1.48E-31	1.62E-28	0.8409401	5	27.79048499	17	1	1	0.248385361	5	0	18475
ATRX	3.15E-30	3.27E-27	0.991244751	X	26.48545225	18	1	1	0.199430662	X	0	18584
FBXW7	6.03E-29	5.93E-26	0.987725935	4	25.22694531	19	1	1	0.414719108	4	0	18347
KMT2C	1.99E-27	1.86E-24	0.969505436	7	23.73048706	20	1	1	0.276769046	7	0	18441
PIK3R1	3.41E-26	3.03E-23	0.996535198	5	22.51855737	21	1	1	0.35790314	5	0	18368
CASP8	7.29E-24	6.19E-21	0.996614	2	20.20830935	22	1	1	0.23218124	2	0	18510
CDH1	2.16E-23	1.75E-20	0.994076871	16	19.75696195	23	1	1	0.247927452	16	0	18477
CTCF	2.84E-23	2.21E-20	0.994066405	16	19.65560773	24	1	1	0.24209026	16	0	18491
ATM	1.95E-22	1.45E-19	0.965068542	11	18.838632	25	1	1	0.285971816	11	0	18430
CIC	7.67E-21	5.51E-18	0.975286939	19	17.2588484	26	1	1	0.294681344	19	0	18420
